"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error"
"2104","L-Arginine",173.1038,137.55,0.19,873.476092033898,273.903967764631,271.945235861714,275.862699667547,233.405224064536,314.402711464725,17.3410319220982
"2105","L-Arginine",197.1014,146.41,0.27,876.901647457627,274.481041233952,272.519252346368,276.442830121535,233.982149566921,314.979932900982,17.3410319220982
"2106","L-Arginine",175.1195,135.35,0,880.327202881356,275.057688263365,273.092832401377,277.022544125353,234.558647914526,315.556728612203,17.3410319220982
"2109","L-Asparagine",131.0457,126.48,0.88,883.752758305085,275.633910825545,273.665978073206,277.601843577883,235.134721081351,316.133100569738,17.3410319220982
"2110","L-Asparagine",155.0433,130.7,0.56,887.178313728814,276.209710876432,274.238691391111,278.180730361753,235.710371024652,316.709050728212,17.3410319220982
"2111","L-Asparagine",133.0613,130.3,0.39,890.603869152542,276.785090355439,274.810974367341,278.759206343538,236.285599685149,317.284581025729,17.3410319220982
"2112","L-Aspartic acid",132.0302,120.39,0.34,894.029424576271,277.360051185655,275.382828997343,279.337273373967,236.860408987231,317.85969338408,17.3410319220982
"2113","L-Aspartic Acid",132.0297,121.31,0.91,897.45498,277.934595274041,275.954257259965,279.914933288118,237.43480083915,318.434389708933,17.3410319220982
"2115","L-Cystathionine",221.0596,143.69,0.11,900.880535423729,278.508724511631,276.525261117653,280.492187905609,238.008777133225,319.008671890038,17.3410319220982
"2116","L-Cysteine",120.0119,143.75,0.07,904.306090847458,279.082440773721,277.095842516646,281.069039030795,238.582339746026,319.582541801415,17.3410319220982
"2117","L-Cysteine",144.0095,149.89,0.04,907.731646271186,279.655745920061,277.66600338717,281.645488452952,239.155490538574,320.156001301548,17.3410319220982
"2118","L-Cysteine",122.0276,148.16,0.04,911.157201694915,280.228641795043,278.235745643623,282.221537946463,239.72823135652,320.729052233566,17.3410319220982
"2119","L-Cystine",239.0166,144.39,0.07,914.582757118644,280.801130227883,278.805071184765,282.797189271,240.300564030333,321.301696425432,17.3410319220982
"2120","L-Cystine",241.0311,150.08,0.04,918.008312542373,281.373213032802,279.373981893898,283.372444171706,240.872490375481,321.873935690123,17.3410319220982
"2121","L-Cystine (+Na)",263.0131,151.81,0.07,921.433867966102,281.944892009208,279.942479639048,283.947304379367,241.444012192608,322.445771825807,17.3410319220982
"2122","L-DOPA",218.044,141.2,0.1,924.859423389831,282.516168941866,280.510566273145,284.521771610588,242.015131267712,323.01720661602,17.3410319220982
"2123","L-DOPA",196.0624,140.6,0.2,928.284978813559,283.087045601078,281.078243634192,285.095847567963,242.585849372317,323.588241829839,17.3410319220982
"2124","L-DOPA",198.0758,149.4,0.1,931.710534237288,283.657523742844,281.645513545443,285.669533940246,243.15616826364,324.158879222049,17.3410319220982
"2125","L-DOPA",220.0571,147.5,0.1,935.136089661017,284.22760510904,282.21237781557,286.242832402511,243.726089684765,324.729120533315,17.3410319220982
"2126","L-Glutamic acid",146.0459,125.65,0.12,938.561645084746,284.797291427574,282.778838238828,286.81574461632,244.295615364803,325.298967490345,17.3410319220982
"2127","L-Glutamic Acid",146.0453,126.55,0.27,941.987200508475,285.366584412553,283.344896595224,287.388272229882,244.864747019057,325.868421806049,17.3410319220982
"2128","L-Glutamic Acid",170.0429,130.37,0.19,945.412755932203,285.935485764444,283.910554650678,287.96041687821,245.433486349181,326.437485179707,17.3410319220982
"2129","L-Glutamic Acid",148.061,141.92,0.55,948.838311355932,286.503997170228,284.47581415718,288.532180183276,246.001835043338,327.006159297118,17.3410319220982
"2133","L-Histidine",154.0622,130.01,0.08,952.263866779661,287.072120303557,285.040676852948,289.103563754166,246.569794776354,327.574445830759,17.3410319220982
"2134","L-Histidine",156.0768,132.74,0.09,955.68942220339,287.639856824908,285.605144462586,289.674569187229,247.137367209875,328.14234643994,17.3410319220982
"2135","L-Histidine",154.0616,129.48,0.04,959.114977627119,288.207208381731,286.169218697235,290.245198066228,247.704553992512,328.709862770951,17.3410319220982
"2136","L-Histidine",178.0592,133.55,0.15,962.540533050847,288.774176608602,286.732901254721,290.815451962483,248.271356759994,329.27699645721,17.3410319220982
"2137","L-Histidine",156.0773,131.16,0.08,965.966088474576,289.340763127362,287.296193819707,291.385332435016,248.837777135311,329.843749119412,17.3410319220982
"2138","L-Histidine (+Na)",178.0587,135.48,0.37,969.391643898305,289.906969547266,287.859098063838,291.954841030695,249.403816728861,330.410122365672,17.3410319220982
"2139","L-Isoleucine",130.0874,131.29,0.04,972.817199322034,290.472797465126,288.421615645883,292.523979284369,249.969477138589,330.976117791663,17.3410319220982
"2140","L-Isoleucine",132.1019,133.81,0.03,976.242754745763,291.038248465445,288.983748211878,293.092748719012,250.534759950129,331.541736980761,17.3410319220982
"2141","L-Isoleucine",130.0868,130.9,0.25,979.668310169492,291.603324120561,289.545497395269,293.661150845852,251.099666736939,332.106981504182,17.3410319220982
"2142","L-Isoleucine",132.1024,134.02,0.28,983.09386559322,292.168025990776,290.106864817045,294.229187164508,251.664199060441,332.671852921112,17.3410319220982
"2143","L-Leucine",130.0874,132.51,0.01,986.519421016949,292.732355624498,290.667852085876,294.79685916312,252.22835847015,333.236352778846,17.3410319220982
"2144","L-Leucine",132.1019,135.56,0.05,989.944976440678,293.296314558365,291.228460798247,295.364168318482,252.792146503809,333.80048261292,17.3410319220982
"2145","L-Leucine",130.0868,132.51,0.28,993.370531864407,293.859904317377,291.78869253859,295.931116096165,253.355564687517,334.364243947237,17.3410319220982
"2146","L-Leucine",132.1024,135.74,0.25,996.796087288136,294.423126415029,292.348548879414,296.497703950643,253.91861453586,334.927638294198,17.3410319220982
"2147","L-Leucine",130.0868,138.02,0.78,1000.22164271186,294.985982353429,292.908031381435,297.063933325423,254.481297552032,335.490667154825,17.3410319220982
"2148","L-Leucine",132.1024,133.89,0.3,1003.64719813559,295.548473623427,293.467141593698,297.629805653157,255.043615227965,336.053332018889,17.3410319220982
"2149","L-Lysine",147.1128,131.6,0.4,1007.07275355932,296.110601704739,294.025881053706,298.195322355772,255.605569044447,336.615634365031,17.3410319220982
"2150","L-Lysine",145.0977,141.05,0.8,1010.49830898305,296.672368066063,294.584251287542,298.760484844584,256.167160471246,337.17757566088,17.3410319220982
"2151","L-Lysine",147.1133,130.57,0.26,1013.92386440678,297.233774165201,295.14225380999,299.325294520413,256.728390967227,337.739157363175,17.3410319220982
"2153","L-Methionine",150.0583,134.08,0.3,1017.34941983051,297.794821449178,295.699890124653,299.889752773702,257.289261980471,338.300380917884,17.3410319220982
"2154","L-Methionine",148.0432,151.29,0.5,1020.77497525424,298.355511354352,296.257161724075,300.453860984629,257.849774948389,338.861247760315,17.3410319220982
"2155","L-Methionine",150.0589,132.39,0.58,1024.20053067797,298.915845306535,296.814070089851,301.017620523219,258.409931297838,339.421759315231,17.3410319220982
"2156","L-Norleucine",132.1024,137.15,0.28,1027.62608610169,299.475824721101,297.37061669275,301.581032749452,258.969732445234,339.981916996968,17.3410319220982
"2157","L-ORNITHINE",133.0963,127.7,0.3,1031.05164152542,300.035451003098,297.926802992821,302.144099013375,259.529179796658,340.541722209538,17.3410319220982
"2158","L-Ornithine Monohydrochloride",131.082,136.12,0.22,1034.47719694915,300.594725547358,298.482630439507,302.706820655209,260.088274747972,341.101176346744,17.3410319220982
"2159","L-Ornithine Monohydrochloride",133.0977,128.58,0.94,1037.90275237288,301.153649738604,299.038100471757,303.269199005451,260.647018684924,341.660280792283,17.3410319220982
"2160","L-Phenylalanine",164.0717,141.29,0.14,1041.32830779661,301.712224951557,299.593214518132,303.831235384981,261.205412983254,342.219036919859,17.3410319220982
"2161","L-Phenylalanine",166.0863,141.28,0.04,1044.75386322034,302.27045255104,300.147973996914,304.392931105166,261.763459008799,342.777446093281,17.3410319220982
"2162","L-Phenylalanine",164.0712,140.25,0.19,1048.17941864407,302.828333892084,300.702380316209,304.954287467959,262.321158117596,343.335509666571,17.3410319220982
"2163","L-Phenylalanine",166.0868,137.6,0.15,1051.6049740678,303.385870320026,301.256434874056,305.515305765996,262.878511655988,343.893228984064,17.3410319220982
"2164","L-Phenylalanine",188.0687,139.7,0.29,1055.03052949153,303.943063170613,301.810139058525,306.075987282701,263.435520960719,344.450605380508,17.3410319220982
"2165","L-Pipecolic Acid",128.0712,133.15,0.2,1058.45608491525,304.4999137701,302.363494247821,306.636333292379,263.992187359036,345.007640181165,17.3410319220982
"2166","L-Pipecolic Acid",130.0868,129.7,0.32,1061.88164033898,305.056423435349,302.916501810385,307.196345060312,264.548512168789,345.564334701908,17.3410319220982
"2167","L-Proline",116.0706,126.22,0.17,1065.30719576271,305.612593473921,303.469163104989,307.756023842854,265.104496698525,346.120690249318,17.3410319220982
"2168","L-Proline",116.0712,125.29,0.21,1068.73275118644,306.168425184181,304.021479480838,308.315370887523,265.660142247582,346.67670812078,17.3410319220982
"2172","L-Serine",104.0348,135.98,0.24,1072.15830661017,306.72391985538,304.573452277665,308.874387433094,266.215450106187,347.232389604573,17.3410319220982
"2173","L-tert-Leucine",130.0868,130.5,0.25,1075.5838620339,307.279078767758,305.125082825825,309.433074709691,266.770421555548,347.787735979968,17.3410319220982
"2174","L-tert-Leucine",132.1024,133.02,0.27,1079.00941745763,307.83390319263,305.676372446388,309.991433938871,267.325057867942,348.342748517317,17.3410319220982
"2175","L-Threonic acid lithium salt",136.0372,121.59,0,1082.43497288136,308.388394392477,306.227322451234,310.549466333719,267.87936030681,348.897428478143,17.3410319220982
"2176","L-Threonic acid lithium salt",138.0528,135.65,0.05,1085.86052830508,308.942553621036,306.777934143143,311.107173098929,268.433330126843,349.45177711523,17.3410319220982
"2177","L-Threonine",118.0504,140.66,0.28,1089.28608372881,309.49638212339,307.328208815885,311.664555430895,268.98696857407,350.00579567271,17.3410319220982
"2178","L-Threonine",120.0661,127.31,0.16,1092.71163915254,310.049881136049,307.878147754309,312.221614517789,269.540276885948,350.55948538615,17.3410319220982
"2180","L-Tryptophan",205.0977,152.78,0.07,1096.13719457627,310.603051887042,308.427752234432,312.778351539652,270.093256291444,351.11284748264,17.3410319220982
"2184","L-Tyrosine",180.0666,145.59,0.24,1099.56275,311.155895595997,308.977023523525,313.33476766847,270.645908011123,351.665883180872,17.3410319220982
"2185","L-Tyrosine",182.0812,146.45,0.14,1102.98830542373,311.708413474228,309.525962880197,313.89086406826,271.198233257228,352.218593691228,17.3410319220982
"2186","L-Tyrosine",180.0661,145.02,0.08,1106.41386084746,312.260606724814,310.074571554482,314.446641895146,271.750233233763,352.770980215864,17.3410319220982
"2187","L-Tyrosine",182.0817,145.04,0.21,1109.83941627119,312.812476542681,310.622850787922,315.002102297441,272.301909136579,353.323043948783,17.3410319220982
"2188","L-Tyrosine",204.0637,142.62,0.07,1113.26497169492,313.364024114686,311.170801813648,315.557246415724,272.853262153446,353.874786075926,17.3410319220982
"2189","L-Valine",116.0712,132.22,0.22,1116.69052711864,313.91525061969,311.718425856464,316.112075382917,273.404293464141,354.42620777524,17.3410319220982
"2190","L-Valine",140.0687,133.02,0.18,1120.11608254237,314.466157228642,312.265724132922,316.666590324363,273.955004240518,354.977310216767,17.3410319220982
"2191","L-Valine",118.0868,142.72,0.57,1123.5416379661,315.016745104652,312.81269785141,317.220792357895,274.505395646593,355.528094562711,17.3410319220982
"2203","LEUCINE",130.0874,130.6,0.2,1126.96719338983,315.567015403069,313.359348212221,317.774682593918,275.055468838614,356.078561967524,17.3410319220982
"2204","LEUCINE",132.101,134.8,0.1,1130.39274881356,316.116969271556,313.905676407636,318.328262135476,275.60522496514,356.628713577973,17.3410319220982
"2205","Leucine enkephalin",554.2615,222.51,0.05,1133.81830423729,316.666607850165,314.451683622001,318.881532078329,276.154665167112,357.178550533218,17.3410319220982
"2206","Leucine enkephalin",556.2771,228.23,0.03,1137.24385966102,317.215932271407,314.997371031798,319.434493511017,276.70379057793,357.728073964884,17.3410319220982
"2211","Leukotriene C4",624.2955,244.81,0.06,1140.66941508475,317.764943660331,315.542739805723,319.987147514939,277.252602323525,358.277284997137,17.3410319220982
"2212","Leukotriene C4",648.2931,258.12,0.16,1144.09497050847,318.313643134588,316.087791104759,320.539495164417,277.801101522426,358.82618474675,17.3410319220982
"2213","Leukotriene C4",626.3111,254.85,0.06,1147.5205259322,318.862031804506,316.632526082248,321.091537526764,278.349289285836,359.374774323176,17.3410319220982
"2215","Leukotriene D4",519.2505,236.46,0.08,1150.94608135593,319.41011077316,317.176945883964,321.643275662355,278.8971667177,359.923054828619,17.3410319220982
"2216","Leukotriene D4",497.2685,232,0.04,1154.37163677966,319.957881136437,317.721051648182,322.194710624692,279.444734914773,360.471027358102,17.3410319220982
"2218","Leukotriene E4",462.229,211.36,0.04,1157.79719220339,320.50534398311,318.264844505751,322.745843460469,279.991994966687,361.018692999533,17.3410319220982
"2219","Leukotriene E4",440.2471,225.76,0.07,1161.22274762712,321.052500394898,318.808325580159,323.296675209637,280.538947956022,361.566052833774,17.3410319220982
"2229","Lincomycin",429.2035,213.6,0.15,1164.64830305085,321.599351446539,319.351495987606,323.847206905472,281.08559495837,362.113107934709,17.3410319220982
"2230","Lincomycin",445.1775,213.6,0.15,1168.07385847458,322.145898205851,319.894356837069,324.397439574633,281.631937042398,362.659859369304,17.3410319220982
"2231","Lincomycin",407.2216,202.02,0.11,1171.4994138983,322.692141733798,320.436909230368,324.947374237227,282.177975269918,363.206308197678,17.3410319220982
"2238","LIOTHYRONINE",651.7956,209.11,0.05,1174.92496932203,323.238083084554,320.979154262235,325.497011906874,282.723710695947,363.752455473162,17.3410319220982
"2239","LIOTHYRONINE",673.7767,194.33,0.2,1178.35052474576,323.783723305569,321.521093020376,326.046353590761,283.269144368772,364.298302242365,17.3410319220982
"2246","LL-2,6-Diaminoheptanedioate",189.0875,139.32,0.4,1181.77608016949,324.329063437624,322.062726585538,326.59540028971,283.814277330011,364.843849545236,17.3410319220982
"2247","LL-2,6-Diaminoheptanedioate",191.1032,141.19,0.11,1185.20163559322,324.8741045149,322.604056031569,327.144152998231,284.359110614677,365.389098415123,17.3410319220982
"2284","LYSINE",145.0982,133.7,0.2,1188.62719101695,325.418847565036,323.145082425486,327.692612704586,284.903645251234,365.934049878838,17.3410319220982
"2285","LYSINE",145.0982,133.7,0.2,1192.05274644068,325.963293609188,323.685806827533,328.240780390844,285.447882261664,366.478704956712,17.3410319220982
"2286","LYSINE",145.0987,133.5,0.3,1195.47830186441,326.507443662091,324.226230291243,328.788657032939,285.991822661521,367.02306466266,17.3410319220982
"2287","LYSINE",145.0987,133.5,0.3,1198.90385728814,327.051298732114,324.766353863501,329.336243600727,286.535467459992,367.567130004236,17.3410319220982
"2288","LYSINE",169.0939,135.5,0.1,1202.32941271186,327.594859821322,325.306178584602,329.883541058043,287.078817659954,368.110901982691,17.3410319220982
"2289","LYSINE",169.0939,135.5,0.1,1205.75496813559,328.138127925531,325.845705488309,330.430550362753,287.621874258032,368.65438159303,17.3410319220982
"2290","LYSINE",147.1126,131.4,0.2,1209.18052355932,328.681104034364,326.384935601916,330.977272466813,288.164638244656,369.197569824073,17.3410319220982
"2291","LYSINE",147.1126,131.4,0.2,1212.60607898305,329.22378913131,326.923869946301,331.52370831632,288.707110604116,369.740467658505,17.3410319220982
"2292","LYSINE",147.1123,131.2,0.1,1216.03163440678,329.766184193775,327.462509535986,332.069858851565,289.249292314617,370.283076072934,17.3410319220982
"2293","LYSINE",147.1123,131.2,0.1,1219.45718983051,330.308290193141,328.000855379193,332.615725007089,289.791184348337,370.825396037945,17.3410319220982
"2343","METHIONINE",148.045,132,0.3,1222.88274525424,330.850108094815,328.538908477899,333.161307711732,290.332787671474,371.367428518156,17.3410319220982
"2344","METHIONINE",150.0579,133.1,0.3,1226.30830067797,331.391638858288,329.076669827893,333.706607888683,290.874103244308,371.909174472268,17.3410319220982
"2345","METHIONINE SULFOXIMINE",179.0498,136.2,0.1,1229.73385610169,331.932883437184,329.614140418831,334.251626455538,291.415132021248,372.450634853121,17.3410319220982
"2346","METHIONINE SULFOXIMINE",203.0457,138.1,0.2,1233.15941152542,332.473842779312,330.151321234285,334.79636432434,291.955874950884,372.991810607741,17.3410319220982
"2347","METHIONINE SULFOXIMINE",181.0649,136.9,0.1,1236.58496694915,333.01451782672,330.688213251802,335.340822401637,292.496332976041,373.532702677398,17.3410319220982
