"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error"
"2482","Na(CsI)6 or Cs(CsI)5(NaI)",1581.8492,218.65,0.39,2288.04989180328,277.273161481065,271.271181668531,283.275141293599,244.404705349033,310.141617613097,13.520583998733
"2483","Na(NaI)1",172.884,136.78,0.52,2334.90085901639,279.798596011382,273.665011599852,285.932180422912,246.905853581378,312.691338441386,13.520583998733
"2484","Na(NaI)10",1521.9322,254.04,0.46,2381.75182622951,282.304551183435,276.038072124934,288.571030241936,249.386768654475,315.222333712394,13.520583998733
"2485","Na(NaI)11",1671.8265,264.99,1,2428.60279344262,284.791556083412,278.391058506928,291.192053659896,251.847998047586,317.735114119238,13.520583998733
"2486","Na(NaI)12",1821.7207,272.73,1.85,2475.45376065574,287.260115531651,280.724625216917,293.795605846385,254.290064265582,320.23016679772,13.520583998733
"2487","Na(NaI)13",1971.615,276.93,0.53,2522.30472786885,289.71071163231,283.039389117252,296.382034147369,256.713466430125,322.707956834496,13.520583998733
"2488","Na(NaI)14",2121.5092,292.32,0.32,2569.15569508197,292.143805197213,285.335932371327,298.9516780231,259.118681741779,325.168928652648,13.520583998733
"2489","Na(NaI)16",2421.2977,311.18,1.22,2616.00666229508,294.559837056188,287.614805099937,301.504869012439,261.506166825689,327.613507286687,13.520583998733
"2490","Na(NaI)17",2571.192,317.23,1.29,2662.8576295082,296.959229264807,289.87652780439,304.041930725225,263.876358972001,330.042099557613,13.520583998733
"2491","Na(NaI)3",472.6725,163.99,0.22,2709.70859672131,299.342386219229,292.121593576023,306.563178862434,266.229677280976,332.455095157481,13.520583998733
"2492","Na(NaI)4",622.5668,183.36,0.37,2756.55956393443,301.709695686755,294.35047011088,309.068921262631,268.56652372163,334.852867651881,13.520583998733
"2493","Na(NaI)5",772.461,192.04,0.29,2803.41053114754,304.061529759813,296.563601547173,311.559457972453,270.887284111794,337.235775407833,13.520583998733
"2494","Na(NaI)6",922.3553,202.02,0.73,2850.26149836066,306.398245740209,298.761410141889,314.035081338529,273.192329026632,339.604162453786,13.520583998733
"2495","Na(NaI)7",1072.2495,215.5,0.53,2897.11246557377,308.720186959835,300.944297801643,316.496076118028,275.482014641946,341.958359277725,13.520583998733
"2496","Na(NaI)8",1222.1437,229.24,0.45,2943.96343278689,311.02768354333,303.112647481569,318.94271960509,277.756683517899,344.29868356876,13.520583998733
"2497","Na(NaI)9",1372.038,240.73,0.51,2990.8144,313.321053117659,305.266824464829,321.375281770489,280.01666532828,346.625440907037,13.520583998733
