"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi"
"790","AZELATE",209.0803,141.9,0.04,438.472172072072,206.208511302337,204.104368846666,208.312653758007,179.045325520695,233.371697083978
"791","AZELATE",187.0976,139.88,0.05,442.116789189189,206.796731356104,204.681940370712,208.911522341496,179.632718632538,233.960744079671
"856","Bishomo-gamma-linolenic Acid (C20:3)",329.2456,182.39,0.23,445.761406306306,207.379893865102,205.254396709586,209.505391020617,180.215045540616,234.544742189587
"857","Bishomo-gamma-linolenic Acid (C20:3)",305.248,181.69,0.11,449.406023423423,207.95808313619,205.82182666034,210.094339612041,180.792390837543,235.123775434838
"881","Carbocyclic Thromboxane A2",371.2562,202.59,0.05,453.050640540541,208.53138140138,206.384316740732,210.678446062028,181.364837031674,235.697925771086
"882","Carbocyclic Thromboxane A2",347.2586,200.1,0.05,456.695257657658,209.099868885104,206.941951265152,211.257786505057,181.932464614753,236.267273155455
"883","Carnitine 12:0",366.262,216.42,0.17,460.339874774775,209.6636238688,207.494812417519,211.83243532008,182.495352126832,236.831895610767
"884","Carnitine 12:0",344.2801,200.46,0.12,463.984491891892,210.222722752912,208.042980321308,212.402465184515,183.05357621861,237.391869287213
"885","Carnitine 16:0",422.3246,229.22,0.07,467.629109009009,210.777240116455,208.586533106817,212.967947126094,183.607211711313,237.947268521598
"886","Carnitine 16:0",400.3427,215.02,0.08,471.273726126126,211.327248774241,209.125546975806,213.528950572676,184.156331654213,238.498165894269
"887","Carnitine 18:1(alpha9-cis)",448.3403,227.46,0.04,474.918343243243,211.872819831874,209.66009626362,214.085543400127,184.701007379928,239.044632283819
"888","Carnitine 18:1(alpha9-cis)",426.3583,217.64,0.07,478.56296036036,212.414022738633,210.190253498903,214.637791978363,185.24130855757,239.586736919696
"950","cis-Gondoic acid",309.2799,184.29,0.03,482.207577477477,212.950925338327,210.716089461015,215.18576121564,185.777303243864,240.124547432791
"955","CITRAMALATE",171.027,133.2,0.2,485.852194594595,213.483593918214,211.237673235246,215.729514601181,186.309057932325,240.658129904102
"956","CITRAMALATE",147.0299,122,0.1,489.496811711712,214.012093256077,211.755072265932,216.269114246223,186.836637600576,241.187548911579
"957","Citramalic Acid",147.0293,124.24,0.09,493.141428828829,214.536486665543,212.268352407547,216.80462092354,187.360105755892,241.712867575195
"1186","D-(+)-Turanose",341.1084,178.08,0.17,496.786045945946,215.056836039707,212.77757797388,217.336094105535,187.879524479054,242.234147600361
"1187","D-(+)-Turanose",365.106,176.12,0.11,500.430663063063,215.573201893157,213.282811785356,217.863592000958,188.394954466582,242.751449319731
"1195","D-Desthiobin",237.1215,158.32,0.29,504.07528018018,216.085643402452,213.784115214606,218.387171590298,188.906455071421,243.264831733482
"1196","D-Desthiobin",213.1239,157.22,0.1,507.719897297297,216.594218445135,214.281548230333,218.906888659938,189.414084342143,243.774352548127
"1197","D-Desthiobin",215.1396,145.05,0,511.364514414414,217.098983637336,214.775169439572,219.422797835099,189.917899060742,244.280068213929
"1277","Deoxycarnitine",146.1181,129.75,0.28,515.009131531531,217.59999437002,215.265036128396,219.934952611645,190.417954779064,244.782033960977
"1278","DEOXYCARNITINE",146.1173,129.7,0.1,518.653748648649,218.097304843958,215.751204301133,220.443405386783,190.914305853942,245.280303833975
"1315","DETHIOBIOTIN",253.0943,155.81,0.13,522.298365765766,218.59096810345,216.233728718172,220.948207488729,191.407005481093,245.774930725807
"1316","DETHIOBIOTIN",237.1197,155,0.02,525.942982882883,219.081036068872,216.712662932396,221.449409205348,191.896105727821,246.265966409923
"1317","DETHIOBIOTIN",213.1243,152.48,0.03,529.5876,219.567559568084,217.188059324317,221.947059811851,192.381657564577,246.753461571591
"1318","DETHIOBIOTIN",235.1058,148.81,0.06,533.232217117117,220.050588366757,217.659969135956,222.441207597558,192.863710895432,247.237465838083
"1319","DETHIOBIOTIN",215.1386,144.04,0.08,536.876834234234,220.53017119765,218.128442503522,222.931899891778,193.342314587494,247.718027807806
"1345","Dihomo-gamma-Linolenic Acid",305.2486,183.02,0.03,540.521451351351,221.006355788892,218.593528488942,223.419183088841,193.817516499331,248.195195078453
"1369","Docosahexaenoic acid",327.2317,190.17,0.32,544.166068468468,221.479188891304,219.055275110291,223.903102672316,194.289363508415,248.669014274192
"1370","Docosahexaenoic acid",351.2293,184.13,0.22,547.810685585586,221.9487163048,219.513729371155,224.383703238445,194.757901537655,249.139531071945
"1371","Docosahexaenoic acid",329.2474,183.7,0.17,551.455302702703,222.414982903906,219.968937288983,224.861028518829,195.223175581029,249.606790226783
"1394","ELAIDATE",281.2485,175.96,0.04,555.09991981982,222.878032662428,220.420943922467,225.335121402388,195.685229728375,250.07083559648
"1477","GAMMA-LINOLENATE",277.2164,174.77,0.2,558.744536936937,223.337908677305,220.869793397981,225.806023956629,196.144107189351,250.531710165259
"1614","GLUTARYLCARNITINE",298.1242,167.1,0.1,562.389154054054,223.794653191686,221.315528935123,226.273777448249,196.59985031662,250.989456066751
"1615","GLUTARYLCARNITINE",274.1299,165.3,0.1,566.033771171171,224.248307617245,221.758192871395,226.738422363094,197.052500628268,251.444114606222
"1616","GLUTARYLCARNITINE",276.1415,161.1,0.1,569.678388288288,224.698912555779,222.197826686057,227.199998425501,197.5020988295,251.895726282058
"1856","HEPTADECANOATE",269.2483,172.93,0.06,573.323005405405,225.146507820112,222.634471023176,227.658544617047,197.948684833642,252.344330806582
"1857","Heptadecanoic Acid (C17:0)",269.248,172.64,0.07,576.967622522523,225.591132454324,223.068165713924,228.114099194725,198.392297782461,252.789967126188
"1975","Icosadienoic Acid (C20:2)",331.2613,183.13,0.03,580.61223963964,226.032824753347,223.498949798126,228.566699708567,198.832976065847,253.232673440847
"1976","Icosadienoic Acid (C20:2)",307.2637,181.49,0.1,584.256856756757,226.47162228193,223.926861545115,229.016383018745,199.270757340869,253.67248722299
"2063","ITACONATE",153.0154,131.72,0.17,587.901473873874,226.907561893019,224.351938473893,229.463185312144,199.705678550232,254.109445235805
"2064","ITACONATE",129.0192,118.71,0.38,591.546090990991,227.34067974556,224.774217372656,229.907142118464,200.137775940162,254.543583550958
"2197","Lauric acid (ABL)",199.1704,154.82,0.06,595.190708108108,227.771011321751,225.193734317676,230.348288325825,200.567085077734,254.974937565768
"2198","Lauric acid (C12:0)",199.1698,154.23,0.1,598.835325225225,228.198591443756,225.610524691582,230.78665819593,200.993640867659,255.403542019853
"2199","LAUROYLCARNITINE",366.2599,209.4,0.1,602.479942342342,228.62345428992,226.024623201066,231.222285378774,201.417477568571,255.829431011269
"2200","LAUROYLCARNITINE",344.2782,199,0,606.12455945946,229.045633410479,226.436063894022,231.655202926936,201.838628808807,256.252638012151
"2209","Leukotriene B4",359.2198,195.07,0.15,609.769176576577,229.465161742799,226.844880176146,232.085443309452,202.257127601709,256.673195883889
"2210","Leukotriene B4",335.2222,186.51,0.08,613.413793693694,229.882071626158,227.251104827023,232.513038425293,202.673006360472,257.091136891844
"2216","Leukotriene D4",495.2529,225.11,0.09,617.058410810811,230.296394816083,227.654770015707,232.938019616459,203.086296912545,257.506492719622
"2218","Leukotriene E4",438.2314,212.83,0.19,620.703027927928,230.708162498265,228.055907315826,233.360417680704,203.497030513598,257.919294482932
"2225","Lignoceric acid",367.3582,201.11,0.03,624.347645045045,231.117405302055,228.454547720215,233.780262883895,203.905237861086,258.329572743025
"2226","Lignoceric acid (C24:0)",391.3552,215.82,0,627.992262162162,231.524153313578,228.850721655117,234.197584972039,204.310949107409,258.737357519747
"2227","Lignoceric acid (C24:0)",367.3576,199.6,0.05,631.636879279279,231.928436088444,229.24445899393,234.612413182957,204.714193872683,259.142678304204
"2232","LINOLEATE",303.2282,177.02,0.21,635.281496396396,232.330282664108,229.635789070565,235.024776257651,205.115001257152,259.545564071065
"2233","LINOLEATE",279.2332,174.66,0.08,638.926113513513,232.729721571866,230.024740692383,235.434702451348,205.513399853225,259.946043290507
"2234","Linoleic acid",279.233,175.69,0.03,642.570730630631,233.126780848502,230.411342152757,235.842219544246,205.909417757185,260.344143939818
"2235","Linoleic acid (C18:2)",303.23,175.5,0.13,646.215347747748,233.52148804761,230.795621243258,236.247354851962,206.30308258055,260.73989351467
"2236","Linoleic acid (C18:2)",279.2324,174.53,0.09,649.859964864865,233.913870250594,231.177605265479,236.650135235709,206.694421461117,261.133319040071
"2237","Linolenic acid",277.2173,174.88,0.03,653.504581981982,234.303954077349,231.557321042519,237.050587112179,207.08346107369,261.524447081007
"2282","LXA4",375.2147,196.91,0.13,657.149199099099,234.691765696654,231.934794930127,237.448736463182,207.470227640518,261.913303752791
"2283","LXA4",351.2171,193.03,0.67,660.793816216216,235.077330836269,232.310052827525,237.844608845014,207.854746941424,262.299914731114
"2297","MALATE",133.0147,115.9,0.2,664.438433333333,235.460674792748,232.683120187917,238.238229397579,208.237044323668,262.684305261828
"2298","MALATE",133.0147,115.9,0.2,668.08305045045,235.841822440989,233.0540220287,238.629622853278,208.617144711529,263.066500170449
"2302","Malonyl-CoA",852.1078,251.79,0.07,671.727667567568,236.220798243516,233.422782941381,239.01881354565,208.995072615625,263.446523871406
"2314","Maltulose Monohydrate",365.106,180.37,0.24,675.372284684685,236.597626259511,233.789427101218,239.405825417803,209.370852141984,263.824400377037
"2315","Maltulose Monohydrate",341.1084,179.7,0.49,679.016901801802,236.972330153597,234.153978276579,239.790682030615,209.744507000857,264.200153306337
"2326","Margaric acid",269.2486,173.41,0.06,682.661518918919,237.344933204388,234.516459838051,240.173406570725,210.116060515305,264.573805893471
"2348","METHYGLUTARATE",169.0472,137.6,0,686.306136036036,237.715458312807,234.876894767289,240.554021858324,210.48553562955,264.945380996063
"2349","METHYGLUTARATE",145.0509,125.5,0.1,689.950753153153,238.083928010178,235.235305665617,240.932550354738,210.852954917096,265.314901103259
"2351","Methyl Behenate",353.3419,155.35,0.4,693.59537027027,238.450364466111,235.591714762399,241.309014169824,211.218340588648,265.682388343575
"2353","Methyl Linoleate",295.2637,186.27,0.19,697.239987387387,238.814789496173,235.946143923173,241.683435069174,211.581714499808,266.047864492539
"2354","Methyl Linoleate",293.248,182.27,0.1,700.884604504505,239.177224569357,236.298614657572,242.055834481143,211.943098158576,266.411350980139
"2355","Methyl Tetracosanoate",383.3889,186.6,0.08,704.529221621622,239.537690815357,236.649148127019,242.426233503694,212.302512732654,266.77286889806
"2359","Methylsuccinic acid",131.0344,123.68,0.14,708.173838738739,239.896209031652,236.997765152228,242.794652911076,212.659979056555,267.132439006749
"2368","MEVALONATE",171.062,132.88,0.06,711.818455855856,240.252799690411,237.34448622049,243.161113160332,213.015517638534,267.490081742288
"2369","MEVALONATE",147.0657,128.66,0.08,715.463072972973,240.607482945214,237.689331492773,243.525634397655,213.369148667333,267.845817223095
"2370","Mevalonic acid",171.0633,137.02,0.22,719.10769009009,240.960278637603,238.032320810634,243.888236464572,213.720892018762,268.199665256444
"2371","Mevalonic acid",147.0657,133.31,0.28,722.752307207207,241.311206303469,238.373473702944,244.248938903993,214.070767262103,268.551645344835
"2522","NERVONATE",389.3375,204.38,0.13,726.396924324324,241.66028517927,238.71280939244,244.6077609661,214.418793666356,268.901776692183
"2523","NERVONATE",365.3405,197.48,0.08,730.041541441441,242.0075342081,239.050346802102,244.964721614098,214.76499020633,269.25007820987
"2576","O-ACETYLCARNITINE",204.1222,143.5,0.1,733.686158558559,242.352972045599,239.386104561369,245.319839529828,215.10937556857,269.596568522627
"2585","OLEATE",281.2469,175.8,0.23,737.330775675676,242.696617065717,239.720101012192,245.673133119242,215.45196815715,269.941265974284
"2586","Oleic acid",281.2486,176.46,0.09,740.975392792793,243.038487366339,240.052354214932,246.024620517747,215.792786099311,270.284188633367
"2587","Oleic acid (C18:1)",305.2456,180.47,0.1,744.62000990991,243.378600774763,240.382881954103,246.374319595423,216.131847250964,270.625354298562
"2588","Oleic acid (C18:1)",281.248,175.22,0.03,748.264627027027,243.716974853047,240.711701743978,246.722247962117,216.469169202054,270.96478050404
"2634","PALMITATE",279.2309,173.19,0.29,751.909244144144,244.053626903228,241.038830834041,247.068422972416,216.804769281798,271.302484524659
"2635","PALMITATE",255.2331,169.01,0.1,755.553861261261,244.388573972408,241.364286214315,247.412861730501,217.138664563789,271.638483381027
"2636","Palmitic acid",255.233,169.12,0.03,759.198478378378,244.721832857718,241.688084620544,247.755581094893,217.47087187098,271.972793844457
"2637","Palmitic acid (C16:0)",279.23,184.28,0.13,762.843095495495,245.053420111167,242.010242539254,248.09659768308,217.801407780545,272.305432441789
"2638","Palmitic acid (C16:0)",255.2324,168.36,0.03,766.487712612613,245.383352044365,242.330776212687,248.435927876043,218.130288628625,272.636415460105
"2639","PALMITOLEATE",253.2167,167.33,0.2,770.13232972973,245.711644733142,242.649701643608,248.773587822676,218.457530514959,272.965758951324
"2640","Palmitoleic acid",253.2173,167.95,0.03,773.776946846847,246.038314022051,242.9670346,249.109593444102,218.783149307404,273.293478736697
"2641","Palmitoleic acid (C16:1)",277.2143,171.76,0.06,777.421563963964,246.363375528769,243.282790619644,249.443960437893,219.107160646351,273.619590411186
"2642","Palmitoleic acid (C16:1)",253.2167,167.06,0.07,781.066181081081,246.686844648387,243.596985014584,249.77670428219,219.429579949031,273.944109347744
"2643","PALMITOYLCARNITINE",422.3201,219.7,0.2,784.710798198198,247.00873655761,243.909632875485,250.107840239736,219.750422413724,274.267050701496
"2644","PALMITOYLCARNITINE",400.3385,213.9,0.1,788.355415315315,247.329066218845,244.220749075885,250.437383361805,220.069703023873,274.588429413818
"2652","Paullinic acid (C20:1)",333.2769,187.64,0.06,792.000032432432,247.647848384208,244.530348276355,250.765348492062,220.387436552091,274.908260216326
"2653","Paullinic acid (C20:1)",309.2793,183.08,0.11,795.64464954955,247.965097599427,244.838444928539,251.091750270315,220.703637564085,275.226557634769
"2791","Pentadecanoic acid",241.2173,165.34,0.04,799.289266666667,248.280828207661,245.145053279122,251.4166031362,221.018320422487,275.543335992834
"2792","Pentadecylic Acid (C15:0)",241.2167,164.78,0.11,802.933883783784,248.595054353229,245.450187373686,251.739921332773,221.331499290597,275.858609415862
