"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi"
"1054","CYCLIC AMP",330.0594,172.6,0.2,543.330806451613,201.906106331953,200.498759168358,203.313453495547,187.846209512648,215.966003151257
"1055","CYCLIC AMP",330.0609,172.6,0,547.443709677419,202.812295049638,201.388672298104,204.235917801171,188.750759775377,216.873830323899
"1056","CYCLIC AMP",330.0609,172.6,0,551.556612903226,203.726806040458,202.286091320422,205.167520760494,189.663530055285,217.790082025631
"1057","CYCLIC AMP",328.0456,172,0.1,555.669516129032,204.649019610906,203.190414366952,206.107624854861,190.583899569176,218.714139652637
"1058","CYCLIC AMP",328.0456,172,0.1,559.782419354839,205.578293275821,204.101019791059,207.055566760582,191.511225014119,219.645361537523
"1059","CYCLIC AMP",328.0452,171.8,0.1,563.895322580645,206.513963401842,205.017267637402,208.010659166281,192.444842223108,220.583084580576
"1060","CYCLIC AMP",328.0452,171.8,0.1,568.008225806452,207.455346982536,205.938501223468,208.972192741604,193.384067950855,221.526626014217
"1061","CYCLIC GMP",368.0354,184.2,0.1,572.121129032258,208.401743536008,206.864048827764,209.939438244251,194.328201780417,222.475285291599
"1062","CYCLIC GMP",346.0545,172.4,0,576.234032258065,209.35243711452,207.793225477983,210.911648751056,195.27652814003,223.428346089009
"1063","CYCLIC GMP",366.0227,169.7,0.1,580.346935483871,210.306698414425,208.72533483107,211.888061997781,196.228318418369,224.385078410482
"1064","CYCLIC GMP",344.0401,167.8,0.1,584.459838709677,211.263786973621,209.659671135822,212.867902811421,197.182833165314,225.344740781929
"1269","DEOXYADENOSINE MONOPHOSPHATE",354.0558,173,0.1,588.572741935484,212.222953442737,210.595521267342,213.850385618132,198.139324364402,226.306582521072
"1270","DEOXYADENOSINE MONOPHOSPHATE",352.0448,169.8,0.1,592.68564516129,213.183441915463,211.532166821539,214.834717009387,199.097037762294,227.269846068632
"1271","DEOXYADENOSINE MONOPHOSPHATE",332.075,168.5,0.1,596.798548387097,214.14449230274,212.468886256839,215.820098348641,200.055215239964,228.233769365516
"1272","DEOXYADENOSINE MONOPHOSPHATE",330.0621,164.9,0.1,600.911451612903,215.105342735023,213.404957069419,216.805728400626,201.013097209827,229.197588260218
"1273","DEOXYADENOSINE TRIPHOSPHATE",513.9909,202,0.1,605.02435483871,216.065231976523,214.339657987626,217.790805965419,201.969925022725,230.16053893032
"1274","DEOXYADENOSINE TRIPHOSPHATE",492.0092,194.8,0.2,609.137258064516,217.023401835187,215.272271170773,218.774532499602,202.924943368587,231.121860301788
"1275","DEOXYADENOSINE TRIPHOSPHATE",489.9938,186.5,0.1,613.250161290323,217.979099552221,216.202084397269,219.756114707173,203.87740265463,232.080796449812
"1276","DEOXYADENOSINE TRIPHOSPHATE",511.9722,185.9,0.1,617.363064516129,218.931580155193,217.12839322701,220.734767083376,204.826561345259,233.036598965127
"1299","DEOXYGUANOSINE-MONOPHOSPHATE",348.0676,176.9,0.3,621.475967741936,219.880108759199,218.050503123134,221.709714395264,205.771688248237,233.988529270161
"1300","DEOXYGUANOSINE-MONOPHOSPHATE",370.0493,170.7,0,625.588870967742,220.823962801123,218.967731518651,222.680194083595,206.712064732307,234.935860869938
"1301","DEOXYGUANOSINE-MONOPHOSPHATE",368.0383,170.3,0.1,629.701774193548,221.762434192817,219.879409814019,223.645458571615,207.646986862259,235.877881523375
"1302","DEOXYGUANOSINE-MONOPHOSPHATE",346.0559,168.4,0.1,633.814677419355,222.694831379919,220.784885292523,224.604777467315,208.575767438306,236.813895321532
"1323","DGDP",428.0351,188.5,0,637.927580645161,223.620481294072,221.683522941221,225.557439646923,209.49773792774,237.743224660405
"1324","DGDP",448.0036,185.6,0.1,642.040483870968,224.538731187482,222.574707166292,226.502755208671,210.412250277983,238.66521209698
"1325","DGDP",450.0164,185.2,0,646.153387096774,225.448950339995,223.4578433928,227.440057287191,211.318678601427,239.579222078564
"1326","DGDP",426.0233,180.8,0.1,650.266290322581,226.350531630251,224.33235954016,228.368703720342,212.216420723801,240.484642536701
"1327","DGDP",448.0036,177.5,0.1,654.379193548387,227.242892963824,225.197707365952,229.288078561697,213.10489958922,241.380886338429
"1328","DGTP",505.9881,191.4,0.1,658.492096774194,228.125478552751,226.053363672093,230.197593433409,213.983564516481,242.267392589021
"1329","DGTP",527.9702,182.7,0.1,662.605,228.997760042254,226.89883136883,231.096688715678,214.851892302637,243.143627781871
"1668","Guanosine 5' Monophosphate Disodium Salt Hydrate",362.0502,171.43,0.22,666.717903225806,229.859237481946,227.733640393406,231.984834570485,215.70938817132,244.009086792572
"1669","GUANOSINE DIPHOSPHATE",444.029,192,0.1,670.830806451613,230.70944014021,228.55734848167,232.86153179875,216.555586564686,244.863293715733
"1670","GUANOSINE DIPHOSPHATE",466.0108,188.4,0,674.943709677419,231.547927161835,229.369541792245,233.726312531424,217.390051779241,245.705802544429
"1671","GUANOSINE DIPHOSPHATE",463.9985,186.4,0.1,679.056612903226,232.374288070302,230.169835384196,234.578740756409,218.212378447095,246.53619769351
"1672","GUANOSINE DIPHOSPHATE",442.0166,182.4,0.1,683.169516129032,233.188143117367,230.957873550335,235.4184126844,219.022191865431,247.354094369304
"1678","GUANOSINE MONOPHOSPHATE",364.064,179.5,0,687.282419354839,233.989143483739,231.733330009502,236.244956957976,219.819148178124,248.159138789354
"1679","GUANOSINE MONOPHOSPHATE",386.0452,174.3,0,691.395322580645,234.776971335714,232.495907962155,237.058034709272,220.602934414469,248.951008256958
"1680","GUANOSINE MONOPHOSPHATE",384.0332,172.1,0.1,695.508225806452,235.55133974358,233.245340014589,237.857339472571,221.373268390934,249.729411096226
"1681","GUANOSINE MONOPHOSPHATE",362.0504,169.4,0.2,699.621129032258,236.311992468444,233.981387977941,238.642596958947,222.129898482654,250.494086454233
"1682","GUANOSINE TRIPHOSPHATE",521.9834,193,0.1,703.734032258065,237.058703624848,234.703842548822,239.413564700874,222.872603272109,251.244803977588
"1683","GUANOSINE TRIPHOSPHATE",543.9645,184.2,0.1,707.846935483871,237.791277227173,235.41252287909,240.170031575255,223.601191082997,251.981363371348
"2028","INOSINE 5'-DIPHOSPHATE",429.0177,186.6,0.1,711.959838709677,238.509546628267,236.107276042698,240.911817213837,224.315499407798,252.703593848736
"2029","INOSINE 5'-DIPHOSPHATE",450.9996,184,0.1,716.072741935484,239.213373859165,236.787976407975,241.638771310354,225.015394237865,253.411353480464
"2030","INOSINE 5'-DIPHOSPHATE",448.988,180,0.1,720.18564516129,239.90264887895,237.454524923955,242.350772833944,225.700769305117,254.104528452782
"2033","Inosine 5'-Monophosphate",347.0393,160.63,0.11,724.298548387097,240.577288744031,238.106848329506,243.047729158555,226.371545244575,254.783032243486
"2034","INOSINE MONOPHOSPHATE",349.0532,174.3,0.1,728.411451612903,241.23723670609,238.744898294104,243.729575118075,227.027668686953,255.446804725226
"2035","INOSINE MONOPHOSPHATE",347.0434,171.2,0.1,732.52435483871,241.882461247949,239.368650499031,244.396271996866,227.669111290532,256.095811205365
"2036","INOSINE MONOPHOSPHATE",371.0353,170.8,0.1,736.637258064516,242.512955066446,239.978103667692,245.047806465201,228.295868721334,256.730041411559
"2037","INOSINE MONOPHOSPHATE",369.0228,166.5,0.1,740.750161290323,243.128734011219,240.573278553522,245.684189468916,228.907959590433,257.349508432005
"2038","INOSINE TRIPHOSPHATE",530.9692,197,0.3,744.863064516129,243.729835987983,241.15421689372,246.305455082247,229.50542435694,257.954247619026
"2039","INOSINE TRIPHOSPHATE",508.988,193.6,0.1,748.975967741936,244.316319834586,241.720980336697,246.911659332475,230.088324204846,258.544315464326
"2040","INOSINE TRIPHOSPHATE",506.9726,189.2,0.1,753.088870967742,244.888264177699,242.273649350797,247.502879004602,230.656739901513,259.119788453885
"2041","INOSINE TRIPHOSPHATE",528.954,182.8,0.1,757.201774193548,245.445766277591,242.81232212139,248.079210433793,231.210770645192,259.680761909991
"2042","INOSINE-MONOPHOSPHATE",349.0546,174.1,0.1,761.314677419355,245.988940867954,243.337113443046,248.640768292863,231.750532908421,260.227348827488
"2043","INOSINE-MONOPHOSPHATE",347.0405,171.4,0,765.427580645161,246.517918997267,243.848153612988,249.187684381546,232.276159283745,260.759678710789
"2044","INOSINE-MONOPHOSPHATE",371.037,170.6,0.1,769.540483870968,247.032846877674,244.345587331566,249.720106423782,232.787797337614,261.277896417734
"2045","INOSINE-MONOPHOSPHATE",369.0215,166.6,0,773.653387096774,247.533884746836,244.829572614991,250.238196878682,233.285608477861,261.782161015812
"3802","XANTHOSINE-MONOPHOSPHATE",387.0293,176.6,0.1,777.766290322581,248.021205747703,245.300279725077,250.742131770329,233.769766839606,262.2726446558
"3803","XANTHOSINE-MONOPHOSPHATE",365.0477,175.5,0.1,781.879193548387,248.494994830616,245.757890120233,251.232099540998,234.240458193944,262.749531467287
"3804","XANTHOSINE-MONOPHOSPHATE",385.0171,170.9,0.1,785.992096774194,248.955447681678,246.202595431482,251.708299931873,234.697878883246,263.213016480109
"3805","XANTHOSINE-MONOPHOSPHATE",363.0352,166.3,0.1,790.105,249.402769680799,246.634596466782,252.170942894816,235.142234786434,263.663304575164
