"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi"
"1108","CYTIDINE DIPHOSPHATE",402.0119,174.2,0.2,370.765736585366,171.1602084941,169.625243071152,172.695173917048,158.408751404025,183.911665584175
"1109","CYTIDINE MONOPHOSPHATE",346.0392,168,0.1,373.546208943089,171.530984686115,170.011069844595,173.050899527635,158.781330565479,184.280638806751
"1110","CYTIDINE MONOPHOSPHATE",346.0393,167.9,0,376.326681300813,171.907843680391,170.403034768226,173.412652592556,159.159981548547,184.655705812235
"1111","CYTIDINE MONOPHOSPHATE",324.0573,167,0.1,379.107153658537,172.290802178942,170.801139831004,173.780464526879,159.544719134287,185.036885223597
"1112","CYTIDINE MONOPHOSPHATE",324.0578,166.8,0.1,381.88762601626,172.679873120476,171.20538216949,174.154364071463,159.935554282856,185.424191958096
"1113","CYTIDINE MONOPHOSPHATE",322.0454,164.5,0.2,384.668098373984,173.075065543543,171.615753882007,174.534377205078,160.332493997898,185.817637089187
"1114","CYTIDINE MONOPHOSPHATE",322.0439,164.4,0.1,387.448570731707,173.476384451472,172.032241844889,174.920527058056,160.735541192939,186.217227710006
"1115","CYTIDINE MONOPHOSPHATE",344.0268,163.4,0.2,390.229043089431,173.883830679536,172.454827531747,175.312833827324,161.144694560208,186.622966798863
"1116","CYTIDINE MONOPHOSPHATE",344.0266,163.2,0.1,393.009515447155,174.297400764751,172.883486836877,175.711314692625,161.559948442335,187.034853087167
"1289","DEOXYCYTIDINE MONOPHOSPHATE",330.0446,164.7,0.1,395.789987804878,174.717086818796,173.318189904015,176.115983733577,161.981292707373,187.452880930219
"1290","DEOXYCYTIDINE MONOPHOSPHATE",306.0509,162.4,0.2,398.570460162602,175.142876404472,173.758900961809,176.526851847135,162.408712627598,187.877040181347
"1291","DEOXYCYTIDINE MONOPHOSPHATE",330.0446,157,0.2,401.350932520325,175.574752416207,174.205578167565,176.943926664849,162.842188762586,188.307316069828
"1308","DEOXYURIDINE TRIPHOSPHATE",488.947,188.9,0.1,404.131404878049,176.012692965051,174.658173460947,177.367212469154,163.281696847018,188.743689083084
"1309","DEOXYURIDINE TRIPHOSPHATE",490.9617,185.3,0.1,406.911877235772,176.456671268672,175.116632429548,177.796710107796,163.727207683715,189.186134853629
"1310","DEOXYURIDINE TRIPHOSPHATE",466.9659,178.6,0,409.692349593496,176.906655546826,175.580894188385,178.232416905267,164.17868704239,189.634624051262
"1311","DEOXYURIDINE-MONOPHOSPHATE",329.0154,171.9,0.1,412.47282195122,177.362608922795,176.050891275607,178.674326569983,164.6360955646,190.08912228099
"1312","DEOXYURIDINE-MONOPHOSPHATE",331.0292,168.1,0.1,415.253294308943,177.824489331284,176.526549566835,179.122429095734,165.099388675395,190.549589987174
"1313","DEOXYURIDINE-MONOPHOSPHATE",329.0154,161.9,0.1,418.033766666667,178.292249433278,177.007788210773,179.576710655784,165.568516502157,191.015982364399
"1314","DEOXYURIDINE-MONOPHOSPHATE",307.033,159.2,0.1,420.81423902439,178.765836538324,177.494519588817,180.037153487831,166.043423801092,191.488249275556
"1378","DTDP-D-GLUCOSE",585.0511,218.2,0.1,423.594711382114,179.245192534738,177.986649301527,180.503735767949,166.524049891868,191.966335177607
"1379","DTDP-D-GLUCOSE",587.0586,209.9,0.1,426.375183739837,179.730253828195,178.484076184832,180.976431471559,167.010328600853,192.450179055538
"1380","DTDP-D-GLUCOSE",563.0677,209.5,0.1,429.155656097561,180.220951289172,178.98669235884,181.455210219505,167.502188213406,192.939714364939
"1673","GUANOSINE DIPHOSPHATE MANNOSE",606.0812,227.4,0,431.936128455285,180.717210209671,179.494383311945,181.940037107397,167.99955143566,193.434868983682
"1674","GUANOSINE DIPHOSPHATE MANNOSE",628.0629,222.3,0,434.716600813008,181.218950269672,180.007028022722,182.430872516622,168.502335366207,193.935565173137
"1675","GUANOSINE DIPHOSPHATE MANNOSE",626.0524,217.2,0.2,437.497073170732,181.726085513708,180.52449912166,182.927671905756,169.010451478084,194.441719549332
"1676","GUANOSINE DIPHOSPHATE MANNOSE",604.0692,209,0.2,440.277545528455,182.238524337952,181.046663094282,183.430385581622,169.523805611432,194.953243064473
"1677","GUANOSINE DIPHOSPHATE MANNOSE",626.0524,205.5,1.2,443.058017886179,182.756169488183,181.573380526459,183.938958449906,170.042297977177,195.470040999188
"3482","Thymidine 5' Triphosphate Sodium Salt, approx 97%",504.949,206.38,0.1,445.838490243902,183.278918068947,182.104506391844,184.45332974605,170.565823172043,195.992012965851
"3483","Thymidine 5'-Monophosphate",345.0464,168.9,0.09,448.618962601626,183.80666156424,182.639890380312,184.973432748168,171.094270205176,196.519052923305
"3484","Thymidine 5'-Monophosphate",321.0488,165.43,0.39,451.39943495935,184.339285869951,183.179377265077,185.499194474825,171.627522536643,197.051049203259
"3485","Thymidine 5'-Monophosphate",323.0644,163.03,0.04,454.179907317073,184.876671338325,183.722807304871,186.030535371779,172.165458128011,197.58788454864
"3486","THYMIDINE-MONOPHOSPHATE",343.0318,176.2,0,456.960379674797,185.418692834621,184.270016676193,186.567368993049,172.707949505165,198.129436164077
"3487","THYMIDINE-MONOPHOSPHATE",343.0318,176.2,0,459.74085203252,185.965219806132,184.820837929321,187.109601682943,173.254863833527,198.675575778738
"3488","THYMIDINE-MONOPHOSPHATE",345.0467,173.5,0.1,462.521324390244,186.516116363669,185.375100460496,187.657132266842,173.80606300573,199.226169721609
"3489","THYMIDINE-MONOPHOSPHATE",345.0467,173.5,0.1,465.301796747968,187.071241375581,185.932630991687,188.209851759475,174.361403741816,199.781079009347
"3490","THYMIDINE-MONOPHOSPHATE",345.0447,173.5,0.1,468.082269105691,187.630448574331,186.493254048543,188.767643100118,174.920737701936,200.340159446725
"3491","THYMIDINE-MONOPHOSPHATE",345.0447,173.5,0.1,470.862741463415,188.193586675596,187.056792426767,189.330380924426,175.483911611515,200.903261739678
"3492","THYMIDINE-MONOPHOSPHATE",343.0309,167.6,0.1,473.643213821138,188.760499509831,187.62306763719,189.897931382472,176.050767398757,201.470231620905
"3493","THYMIDINE-MONOPHOSPHATE",343.0309,167.6,0.1,476.423686178862,189.331026166141,188.191900320348,190.470152011935,176.62114234437,202.040909987913
"3494","THYMIDINE-MONOPHOSPHATE",343.0318,167.6,0,479.204158536585,189.905001148324,188.763110622363,191.046891674284,177.194869243278,202.615133053369
"3495","THYMIDINE-MONOPHOSPHATE",343.0318,167.6,0,481.984630894309,190.482254542818,189.336518525403,191.627990560233,177.771776578084,203.192732507551
"3496","THYMIDINE-MONOPHOSPHATE",321.0502,163.2,0,484.765103252033,191.06261219831,189.911944127802,192.213280268819,178.351688703974,203.773535692646
"3497","THYMIDINE-MONOPHOSPHATE",321.0502,163.2,0,487.545575609756,191.645895916649,190.489207871024,192.802583962274,178.934426044708,204.35736578859
"3498","THYMIDINE-MONOPHOSPHATE",321.0488,163.1,0.1,490.32604796748,192.231923654697,191.068130712861,193.395716596533,179.519805299291,204.944042010103
"3499","THYMIDINE-MONOPHOSPHATE",321.0488,163.1,0.1,493.106520325203,192.820509736696,191.648534248485,193.992485224907,180.107639658883,205.533379814508
"3667","URIDINE 5'-DIPHOSPHATE",426.9909,181.7,0.1,495.886992682927,193.411465076653,192.230240782986,194.592689370321,180.697739033423,206.125191119884
"3668","URIDINE 5'-DIPHOSPHATE",424.9773,178.6,0.1,498.66746504065,194.004597410249,192.813073360848,195.196121459649,181.28991028745,206.719284533048
"3669","URIDINE 5'-DIPHOSPHATE",426.9909,178.5,0.1,501.447937398374,194.599711535668,193.39685575915,195.802567312185,181.883957484512,207.315465586823
"3670","URIDINE 5'-DIPHOSPHATE",405.0095,176.9,0.2,504.228409756098,195.196609562773,193.981412452296,196.41180667325,182.479682139544,207.913536986003
"3671","URIDINE 5'-DIPHOSPHATE",402.9956,172.9,0.1,507.008882113821,195.795091169952,194.566568556523,197.023613783381,183.076883478533,208.513298861372
"3672","Uridine 5'-Monophosphate",347.0256,174.26,0.15,509.789354471545,196.394953867952,195.15214976252,197.637757973384,183.675358704785,209.114549031119
